"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"PDK1",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0
"PFKP",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1
"PHKA1",0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
"STK32C",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
"TNK2",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1
"ALPK3",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
"BMPR1B",0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"CAMK1G",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
"CAMKK1",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"CDC42BPG",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
"CDK16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
"CKM",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"CMPK2",0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
"CSNK1E",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"DCLK1",0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"DDR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"DGKA",0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
"EGFR",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0
"EPHA5",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"EPHA7",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
"ERBB3",0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
"ETNK2",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"HUNK",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
"KSR2",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
"LYN",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
"MAP4K1",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
